id-query,id,kudos_delta,hits_delta,comments_delta,bookmarks_delta,words_delta,chapters_delta,modified_before_window,hits,kudos,comments,bookmarks,words,chapters,language,restricted,complete,crossover,date_queried,time_elapsed,query_batch
45022123-0,45022123,5,99,3,1,0,0,False,5338,215,176,45,74711,18,English,False,False,False,2023-11-11 23:54:56.496117,1 days 00:00:01.554636,0
51414988-0,51414988,1,44,1,0,0,0,False,173,15,3,2,11099,4,English,False,False,False,2023-11-11 23:54:56.497568,1 days 00:00:01.554629,0
51528277-0,51528277,167,1113,9,38,0,0,False,0,0,0,0,3691,1,English,False,False,False,2023-11-11 23:54:56.500246,1 days 00:00:01.553141,0
51528115-2,51528115,14,78,1,3,0,0,True,20,2,1,1,5031,5,English,False,True,False,2023-11-12 01:54:54.292942,1 days 00:00:01.304352,2
51527461-0,51527461,77,446,8,7,0,0,False,2,0,0,0,3116,1,English,False,True,True,2023-11-11 23:54:56.502765,1 days 00:00:01.552067,0
51505156-0,51505156,0,5,0,0,0,0,False,4,2,0,0,5463,2,Español,False,False,False,2023-11-11 23:54:56.503991,1 days 00:00:01.552055,0
51528268-0,51528268,2,14,4,0,0,0,False,0,0,0,0,1000,1,English,False,True,False,2023-11-11 23:54:56.505228,1 days 00:00:01.973411,0
46834618-0,46834618,1,15,0,0,0,0,False,671,16,7,3,33257,28,English,False,False,False,2023-11-11 23:54:56.506577,1 days 00:00:01.973401,0
51491869-0,51491869,3,44,0,0,0,0,False,62,7,0,0,5601,2,中文-普通话 國語,False,False,False,2023-11-11 23:54:56.507630,1 days 00:00:01.973295,0
20770058-0,20770058,1,63,0,0,0,0,False,5894,77,18,5,148287,23,English,False,False,False,2023-11-11 23:54:56.508718,1 days 00:00:01.973290,0
51398641-0,51398641,1,70,0,0,0,0,False,234,3,14,1,11732,4,Español,False,False,False,2023-11-11 23:54:56.978506,1 days 00:00:01.504587,0
47719225-0,47719225,0,13,2,0,0,0,False,172,13,12,1,4566,4,English,False,False,False,2023-11-11 23:54:56.979776,1 days 00:00:01.504546,0
51528229-0,51528229,3,61,0,0,0,0,False,0,0,0,0,1511,1,English,False,True,False,2023-11-11 23:54:56.981585,1 days 00:00:01.504479,0
51044458-0,51044458,47,944,0,8,0,0,False,8277,518,0,99,30201,10,English,False,False,False,2023-11-11 23:54:56.983257,1 days 00:00:01.504458,0
